,Cost,Currency,Date,Description,Category,Group ID,Payment,Owe,Source
102,Dining out,94.5,GBP,2017-06-06,Pub lunch ,,,0.0,splitwise
103,General,0.0,GBP,2017-06-06,Cash borrowed ,,,0.0,splitwise
104,General,,GBP,2017-06-06,Cash borrowed ,,,0.0,splitwise
105,Dining out,18.99,GBP,2017-06-06,Pizza,,,0.0,splitwise
106,Groceries,0.0,GBP,2017-06-08,Milk,,,0.0,splitwise
107,Gifts,,GBP,2017-06-08,Carrot cake,,,0.0,splitwise
108,General,0.0,GBP,2017-06-08,Sid Arnav split,,,0.0,splitwise
109,General,0.0,GBP,2017-06-08,Wagamamas ,,,0.0,splitwise
110,Groceries,0.0,GBP,2017-06-10,Cinema drink ,,,0.0,splitwise
111,Taxi,9.4,GBP,2017-06-11,Cab,,,0.0,splitwise
112,Dining out,4.05,GBP,2017-06-12,Hall,,,0.0,splitwise
113,Sports,5.2,GBP,2017-06-12,Climbing ,,,0.0,splitwise
114,Dining out,5.2,GBP,2017-06-13,Hall ,,,0.0,splitwise
115,Dining out,8.13,GBP,2017-06-13,Curry night ,,,0.0,splitwise
116,Dining out,,GBP,2017-06-13,Chocolate cake - curry night,,,0.0,splitwise
117,Hotel,3.5,GBP,2017-06-14,Bedding hire ,,,0.0,splitwise
118,Dining out,4.75,GBP,2017-06-14,Hall ,,,0.0,splitwise
119,Other,144.0,GBP,2017-06-15,Camping equipment,,,0.0,splitwise
120,Dining out,69.65,GBP,2017-06-16,College meals,,,0.0,splitwise
121,Groceries,2.1,GBP,2017-06-17,Sainsburys ,,,0.0,splitwise
122,Services,5.2,GBP,2017-06-17,Laundry ,,,0.0,splitwise
123,Taxi,0.0,GBP,2017-06-17,Taxi to Stansted,,,0.0,splitwise
124,General,,GBP,2017-06-18,Commünal toiletries,,,0.0,splitwise
125,Dining out,5.67,GBP,2017-06-19,Pret a manger ,,,0.0,splitwise
126,Taxi,,GBP,2017-06-20,Taxi to Cambridge ,,,0.0,splitwise
127,Dining out,0.0,GBP,2017-06-27,Pizza,,,0.0,splitwise
128,Groceries,3.6,GBP,2017-06-27,Water bottle ,,,0.0,splitwise
129,Dining out,4.35,GBP,2017-06-28,Lunch ,,,0.0,splitwise
130,Groceries,0.0,GBP,2017-06-28,Shopping,,,0.0,splitwise
131,Groceries,,GBP,2017-06-28,Curry night shopping,,,0.0,splitwise
132,Groceries,0.0,GBP,2017-06-28,Shopping ,,,0.0,splitwise
133,Dining out,33.6,GBP,2017-06-28,Takeaway ,,,0.0,splitwise
134,Services,0.0,GBP,2017-06-28,Laundry ,,,0.0,splitwise
135,Dining out,0.0,GBP,2017-06-29,Curry night dessert,,,0.0,splitwise
136,General,0.0,GBP,2017-06-29,Zell am See accommodation adjustment,,,0.0,splitwise
137,Dining out,0.0,GBP,2017-07-03,Curry Night falafel,,,0.0,splitwise
138,Dining out,11.29,GBP,2017-07-03,College meals ,,,0.0,splitwise
139,General,0.0,GBP,2017-07-05,Austria,,,0.0,splitwise
140,Other,5.0,GBP,2017-07-05,Indian passport photo ,,,0.0,splitwise
141,Sports,5.99,GBP,2017-07-05,Skipping rope,,,0.0,splitwise
142,Bus/train,1.0,GBP,2017-07-07,Bus,,,0.0,splitwise
143,Movies,,GBP,2017-07-07,Spiderman,,,0.0,splitwise
144,Dining out,0.0,GBP,2017-07-07,Lunch,,,0.0,splitwise
145,Dining out,,GBP,2017-07-10,Chettinad,,,0.0,splitwise
146,Groceries,,GBP,2017-07-10,Cottage Supplies,,,0.0,splitwise
147,Dining out,,GBP,2017-07-11,Roast Dins,,,0.0,splitwise
148,Liquor,0.0,GBP,2017-07-11,Pub meal Devonshire,,,0.0,splitwise
149,Other,,GBP,2017-07-11,Estate agent fees,,,0.0,splitwise
150,Groceries,,GBP,2017-07-12,shopping,,,0.0,splitwise
151,Groceries,,GBP,2017-07-12,Spar food,,,0.0,splitwise
152,Dining out,21.0,GBP,2017-07-12,Pub lunch ,,,0.0,splitwise
153,Groceries,,GBP,2017-07-12,cottage stuff ,,,0.0,splitwise
154,Parking,4.5,GBP,2017-07-12,Parking,,,0.0,splitwise
155,Dining out,,GBP,2017-07-12,Nugs,,,0.0,splitwise
156,Other,1.0,GBP,2017-07-12,Falls access ticket ,,,0.0,splitwise
157,Groceries,0.0,GBP,2017-07-12,Bread,,,0.0,splitwise
158,Dining out,5.1,GBP,2017-07-13,Cafe ,,,0.0,splitwise
159,Parking,0.0,GBP,2017-07-13,Parking/entrance,,,0.0,splitwise
160,Dining out,52.37,GBP,2017-07-13,Pizza,,,0.0,splitwise
161,Dining out,,GBP,2017-07-13,Tea Cottage lunch,,,0.0,splitwise
162,Dining out,21.3,GBP,2017-07-14,Five guys ,,,0.0,splitwise
163,Groceries,0.0,GBP,2017-07-14,Dan's Shop,,,0.0,splitwise
164,Games,0.0,GBP,2017-07-14,Laser tag ,,,0.0,splitwise
165,General,0.0,GBP,2017-07-15,Food brought by Callum,,,0.0,splitwise
166,General,220.0,GBP,2017-07-15,Payment,,,1.0,splitwise
167,Gas/fuel,0.0,GBP,2017-07-15,fuel costs,,,0.0,splitwise
168,Gas/fuel,0.0,GBP,2017-07-17,Fuel costs,,,0.0,splitwise
169,Other,42.0,GBP,2017-07-18,Driving lesson ,,,0.0,splitwise
170,Groceries,45.0,GBP,2017-07-18,Camping groceries,,,0.0,splitwise
171,Liquor,2.4,GBP,2017-07-19,Pub,,,0.0,splitwise
172,Dining out,3.3,GBP,2017-07-23,Milkshake ,,,0.0,splitwise
173,Dining out,3.0,GBP,2017-07-23,Greggs,,,0.0,splitwise
174,General,7.4,GBP,2017-07-25,Payment,,,1.0,splitwise
175,Sports,11.98,GBP,2017-07-29,Mountain warehouse,,,0.0,splitwise
176,Dining out,0.8,GBP,2017-08-07,Crisps,,,0.0,splitwise
177,Dining out,8.93,GBP,2017-08-11,Starbucks ,,,0.0,splitwise
178,Rent,900.0,GBP,2017-08-20,Deposit,,,0.0,splitwise
179,Bus/train,10.0,GBP,2017-08-30,Oyster card ,,,0.0,splitwise
180,Rent,450.0,GBP,2017-08-30,Rent ,,,0.0,splitwise
181,Dining out,13.48,GBP,2017-08-30,Pizza,,,0.0,splitwise
182,Household supplies,,GBP,2017-08-31,Hand-wash ,,,0.0,splitwise
183,Services,147.0,GBP,2017-09-01,TV Licence,,,0.0,splitwise
184,Car,790.7,GBP,2017-09-01,Car insurance ,,,0.0,splitwise
185,Groceries,0.0,GBP,2017-09-05,Household shop,,,0.0,splitwise
186,Other,0.0,GBP,2017-09-05,Amazon Prime,,,0.0,splitwise
187,Dining out,57.95,GBP,2017-09-06,Pho & bun,,,0.0,splitwise
188,Dining out,7.24,GBP,2017-09-06,Restaurant tip ,,,0.0,splitwise
189,Liquor,,GBP,2017-09-06,Lash,,,0.0,splitwise
190,Other,42.99,GBP,2017-09-09,Pressure cooker,,,0.0,splitwise
191,Groceries,52.48,GBP,2017-09-10,Tesco ,,,0.0,splitwise
192,Dining out,9.99,GBP,2017-09-10,Pizza ,,,0.0,splitwise
193,Groceries,,GBP,2017-09-10,Spar,,,0.0,splitwise
194,Groceries,,GBP,2017-09-11,"Pegs, breadcrumbs, bin bags ",,,0.0,splitwise
195,Groceries,,GBP,2017-09-11,Tuna,,,0.0,splitwise
196,Dining out,1.0,GBP,2017-09-12,Sweets ,,,0.0,splitwise
197,TV/Phone/Internet,7.5,GBP,2017-09-12,GiffGaff Mobile ,,,0.0,splitwise
198,Groceries,14.28,GBP,2017-09-12,Aldi,,,0.0,splitwise
199,Dining out,3.1,GBP,2017-09-13,Lunch ,,,0.0,splitwise
200,Gas/fuel,24.29,GBP,2017-09-13,Fuel ,,,0.0,splitwise
201,Dining out,3.1,GBP,2017-09-15,Lunch ,,,0.0,splitwise
202,Car,36.85,GBP,2017-09-16,Breakdown cover ,,,0.0,splitwise
203,Furniture,168.93,GBP,2017-09-17,Argos,,,0.0,splitwise
204,Furniture,48.99,GBP,2017-09-17,Wardrobe ,,,0.0,splitwise
205,Dining out,4.9,GBP,2017-09-18,Lunch ,,,0.0,splitwise
206,Dining out,10.0,GBP,2017-09-18,Pizza,,,0.0,splitwise
207,General,0.0,GBP,2017-09-19,Payment,,,1.0,splitwise
208,Dining out,4.55,GBP,2017-09-19,Lunch ,,,0.0,splitwise
209,Gas/fuel,30.02,GBP,2017-09-19,Fuel ,,,0.0,splitwise
210,Groceries,32.58,GBP,2017-09-19,Asda,,,0.0,splitwise
211,General,0.0,GBP,2017-09-20,Payment,,,1.0,splitwise
212,General,5.41,GBP,2017-09-20,Transfer from 2017,,,0.0,splitwise
213,Dining out,3.1,GBP,2017-09-20,Lunch ,,,0.0,splitwise
214,Groceries,0.0,GBP,2017-09-22,Tartar and olive oil,,,0.0,splitwise
215,Household supplies,5.95,GBP,2017-09-23,Hangers,,,0.0,splitwise
216,Sports,,GBP,2017-09-23,Climbing ,,,0.0,splitwise
217,Other,1.5,GBP,2017-09-23,Charity shop books,,,0.0,splitwise
218,Dining out,3.2,GBP,2017-09-23,The Co-operative ,,,0.0,splitwise
219,Groceries,26.59,GBP,2017-09-23,Aldi,,,0.0,splitwise
220,Furniture,6.79,GBP,2017-09-24,Bedsheet,,,0.0,splitwise
221,Groceries,0.0,GBP,2017-09-24,Aldi,,,0.0,splitwise
222,Groceries,0.0,GBP,2017-09-25,Milk,,,0.0,splitwise
223,Dining out,10.0,GBP,2017-09-25,Pizza ,,,0.0,splitwise
224,Groceries,0.0,GBP,2017-09-27,Pasta stuff,,,0.0,splitwise
225,Dining out,3.1,GBP,2017-09-27,Lunch ,,,0.0,splitwise
226,Dining out,23.0,GBP,2017-09-28,Work social ,,,0.0,splitwise
227,General,0.0,GBP,2017-09-29,Payment,,,1.0,splitwise
228,Groceries,8.66,GBP,2017-09-29,Al Amin,,,0.0,splitwise
229,General,,GBP,2017-09-30,Payment,,,1.0,splitwise
230,Rent,450.0,GBP,2017-09-30,Rent,,,0.0,splitwise
231,Movies,,GBP,2017-10-01,Netflix,,,0.0,splitwise
232,Groceries,0.0,GBP,2017-10-02,Bananas & apples,,,0.0,splitwise
233,Groceries,34.02,GBP,2017-10-02,Asda,,,0.0,splitwise
234,Dining out,0.0,GBP,2017-10-02,Pizza,,,0.0,splitwise
235,Electricity,0.0,GBP,2017-10-02,Gas + electricity,,,0.0,splitwise
236,Sports,0.0,GBP,2017-10-03,Bouldering,,,0.0,splitwise
237,Groceries,,GBP,2017-10-03,Chick peas,,,0.0,splitwise
238,Parking,2.4,GBP,2017-10-03,Parking ,,,0.0,splitwise
239,Dining out,3.1,GBP,2017-10-03,Lunch ,,,0.0,splitwise
240,Gas/fuel,10.0,GBP,2017-10-03,Fuel ,,,0.0,splitwise
241,Gas/fuel,28.01,GBP,2017-10-04,Fuel,,,0.0,splitwise
242,Groceries,0.0,GBP,2017-10-05,Oranges toothpaste ,,,0.0,splitwise
243,Groceries,,GBP,2017-10-05,Paneer,,,0.0,splitwise
244,Taxes,169.86,GBP,2017-10-05,Council tax ,,,0.0,splitwise
245,Dining out,4.9,GBP,2017-10-05,Lunch ,,,0.0,splitwise
246,Household supplies,,GBP,2017-10-06,Batteries can opener pestle,,,0.0,splitwise
247,Dining out,,GBP,2017-10-07,Chiquito,,,0.0,splitwise
248,Parking,3.0,GBP,2017-10-07,Parking ,,,0.0,splitwise
249,Dining out,0.0,GBP,2017-10-07,Chinese,,,0.0,splitwise
250,Groceries,,GBP,2017-10-08,Al-amin,,,0.0,splitwise
251,Bus/train,26.4,GBP,2017-10-08,Railcard,,,0.0,splitwise
252,Household supplies,12.0,GBP,2017-10-08,Wilko ,,,0.0,splitwise
253,Bus/train,118.6,GBP,2017-10-09,Edinburgh trains,,,0.0,splitwise
254,Liquor,,GBP,2017-10-09,Hogmanay street party tickets,,,0.0,splitwise
255,Parking,2.0,GBP,2017-10-10,Parking ,,,0.0,splitwise
256,Movies,0.0,GBP,2017-10-10,Blade runner 2049,,,0.0,splitwise
257,TV/Phone/Internet,0.0,GBP,2017-10-10,Broadband,,,0.0,splitwise
258,Groceries,,GBP,2017-10-10,Groceries ,,,0.0,splitwise
259,TV/Phone/Internet,,GBP,2017-10-10,Virgin media set up,,,0.0,splitwise
260,Dining out,0.0,GBP,2017-10-10,Coffee,,,0.0,splitwise
261,Dining out,3.1,GBP,2017-10-12,Lunch ,,,0.0,splitwise
262,Groceries,,GBP,2017-10-12,Veg,,,0.0,splitwise
263,TV/Phone/Internet,7.5,GBP,2017-10-12,GiffGaff Mobile ,,,0.0,splitwise
264,Gifts,1.4,GBP,2017-10-13,Charity,,,0.0,splitwise
265,Groceries,49.01,GBP,2017-10-13,Asda,,,0.0,splitwise
266,Household supplies,4.4,GBP,2017-10-14,Wilko,,,0.0,splitwise
267,Clothing,64.0,GBP,2017-10-14,Climbing shoes ,,,0.0,splitwise
268,Water,0.0,GBP,2017-10-14,Water,,,0.0,splitwise
269,Water,0.01,GBP,2017-10-14,Water settling ,,,0.0,splitwise
270,Sports,54.9,GBP,2017-10-14,Climbing ,,,0.0,splitwise
271,Dining out,0.0,GBP,2017-10-14,Brunch,,,0.0,splitwise
272,Dining out,3.1,GBP,2017-10-16,Lunch ,,,0.0,splitwise
273,Dining out,4.55,GBP,2017-10-17,Lunch ,,,0.0,splitwise
274,Household supplies,31.98,GBP,2017-10-17,Amazon,,,0.0,splitwise
275,Dining out,3.1,GBP,2017-10-18,Lunch ,,,0.0,splitwise
276,Groceries,0.0,GBP,2017-10-18,Sainsbury's ,,,0.0,splitwise
277,Gas/fuel,26.14,GBP,2017-10-18,Fuel ,,,0.0,splitwise
278,Dining out,3.1,GBP,2017-10-19,Lunch,,,0.0,splitwise
279,Other,0.84,GBP,2017-10-20,Photocopying ,,,0.0,splitwise
280,Other,5.0,GBP,2017-10-20,ID Certification ,,,0.0,splitwise
281,Other,232.48,GBP,2017-10-20,OCI,,,0.0,splitwise
282,Gifts,0.15,GBP,2017-10-21,Charity ,,,0.0,splitwise
283,Gifts,20.01,GBP,2017-10-21,Ananya Bhaubij,,,0.0,splitwise
284,Movies,,GBP,2017-10-23,Ragnarok,,,0.0,splitwise
285,Groceries,11.96,GBP,2017-10-23,Co-op,,,0.0,splitwise
286,Groceries,0.0,GBP,2017-10-24,Sainsbury's,,,0.0,splitwise
287,Dining out,15.0,GBP,2017-10-24,Work pub ,,,0.0,splitwise
288,Dining out,1.6,GBP,2017-10-25,Lunch ,,,0.0,splitwise
289,Dining out,2.0,GBP,2017-10-26,Lunch,,,0.0,splitwise
290,Groceries,0.0,GBP,2017-10-26,Bananas cheese,,,0.0,splitwise
291,Parking,2.4,GBP,2017-10-26,Parking ,,,0.0,splitwise
292,Household supplies,8.85,GBP,2017-10-27,Wilko,,,0.0,splitwise
293,Liquor,2.2,GBP,2017-10-27,Pub,,,0.0,splitwise
294,Dining out,12.95,GBP,2017-10-28,Lunch - Stir,,,0.0,splitwise
295,Groceries,,GBP,2017-10-28,Asda,,,0.0,splitwise
296,Parking,,GBP,2017-10-29,Parking ,,,0.0,splitwise
297,Games,2.99,GBP,2017-10-29,Antichamber,,,0.0,splitwise
298,Dining out,74.55,GBP,2017-10-29,Pizza hut,,,0.0,splitwise
299,Gifts,4.75,GBP,2017-10-29,Tim ,,,0.0,splitwise
300,Gifts,50.0,GBP,2017-10-29,Ananya,,,0.0,splitwise
301,Gifts,50.0,GBP,2017-10-29,RSPCA,,,0.0,splitwise
302,Gifts,3.74,GBP,2017-10-29,Seyon ,,,0.0,splitwise
303,Groceries,5.2,GBP,2017-10-29,Spar,,,0.0,splitwise
304,Gifts,50.0,GBP,2017-10-29,Save the Children ,,,0.0,splitwise
305,Groceries,,GBP,2017-10-30,Ketchup,,,0.0,splitwise
306,Rent,450.0,GBP,2017-10-30,Rent,,,0.0,splitwise
307,Groceries,0.0,GBP,2017-10-30,Sainsburys pizzas,,,0.0,splitwise
308,Groceries,0.0,GBP,2017-10-30,Bananas,,,0.0,splitwise
309,Hotel,,GBP,2017-10-30,Edinburgh NY accommodation,,,0.0,splitwise
310,Dining out,1.6,GBP,2017-10-31,Lunch ,,,0.0,splitwise
311,Gas/fuel,31.1,GBP,2017-11-01,Fuel ,,,0.0,splitwise
312,Movies,,GBP,2017-11-01,Netflix,,,0.0,splitwise
313,Electricity,,GBP,2017-11-01,Gas + electricity,,,0.0,splitwise
314,Dining out,1.6,GBP,2017-11-02,Lunch ,,,0.0,splitwise
315,Groceries,0.0,GBP,2017-11-02,Milk + bananas,,,0.0,splitwise
316,Dining out,5.3,GBP,2017-11-03,Lunch ,,,0.0,splitwise
317,Groceries,,GBP,2017-11-03,Asda,,,0.0,splitwise
318,Dining out,0.0,GBP,2017-11-04,Brunch,,,0.0,splitwise
319,Sports,0.0,GBP,2017-11-04,Climbing ,,,0.0,splitwise
320,Other,0.0,GBP,2017-11-05,Bonfire night,,,0.0,splitwise
321,Taxes,170.0,GBP,2017-11-05,Council tax ,,,0.0,splitwise
322,Groceries,0.0,GBP,2017-11-06,Bananas and milk,,,0.0,splitwise
323,Sports,1.0,GBP,2017-11-07,KK locker token ,,,0.0,splitwise
324,Dining out,1.6,GBP,2017-11-07,Lunch,,,0.0,splitwise
325,Household supplies,0.0,GBP,2017-11-07,Toothpaste and hand-wash,,,0.0,splitwise
326,Liquor,3.0,GBP,2017-11-08,Drinks at Hot Numbers ,,,0.0,splitwise
327,Dining out,1.8,GBP,2017-11-08,Lunch ,,,0.0,splitwise
328,TV/Phone/Internet,0.0,GBP,2017-11-10,Broadband,,,0.0,splitwise
329,Dining out,0.0,GBP,2017-11-10,Castle dinner,,,0.0,splitwise
330,Dining out,1.6,GBP,2017-11-10,Lunch ,,,0.0,splitwise
331,Dining out,0.0,GBP,2017-11-11,Brunch ,,,0.0,splitwise
332,Sports,5.3,GBP,2017-11-11,Climbing,,,0.0,splitwise
333,Groceries,41.83,GBP,2017-11-11,Asda,,,0.0,splitwise
334,TV/Phone/Internet,7.5,GBP,2017-11-12,GiffGaff Mobile ,,,0.0,splitwise
335,Water,0.0,GBP,2017-11-14,Water,,,0.0,splitwise
336,Groceries,0.0,GBP,2017-11-15,Sainsburys ,,,0.0,splitwise
337,Groceries,0.0,GBP,2017-11-15,Chutney and pears,,,0.0,splitwise
338,Gas/fuel,28.41,GBP,2017-11-16,Fuel ,,,0.0,splitwise
339,Groceries,0.0,GBP,2017-11-16,Milk,,,0.0,splitwise
340,Dining out,1.6,GBP,2017-11-17,Lunch ,,,0.0,splitwise
341,Groceries,0.0,GBP,2017-11-18,Asda,,,0.0,splitwise
342,Electronics,5.99,GBP,2017-11-18,DVD drive HDD caddy,,,0.0,splitwise
343,Electronics,84.86,GBP,2017-11-18,SSD,,,0.0,splitwise
344,Groceries,0.0,GBP,2017-11-20,Bananas ,,,0.0,splitwise
345,Groceries,0.0,GBP,2017-11-20,Pizza,,,0.0,splitwise
346,Gifts,10.57,GBP,2017-11-20,Cake club,,,0.0,splitwise
347,Groceries,0.0,GBP,2017-11-23,Milk and bananas ,,,0.0,splitwise
348,Dining out,4.9,GBP,2017-11-24,Lunch,,,0.0,splitwise
349,Dining out,7.95,GBP,2017-11-25,Brunch,,,0.0,splitwise
350,Games,3.26,GBP,2017-11-25,Half-life game,,,0.0,splitwise
351,Sports,5.3,GBP,2017-11-25,Climbing,,,0.0,splitwise
352,Household supplies,20.06,GBP,2017-11-26,Water bottle and bedsheet ,,,0.0,splitwise
353,Gifts,189.95,GBP,2017-11-26,Phone for aai ,,,0.0,splitwise
354,Groceries,0.0,GBP,2017-11-27,Asda,,,0.0,splitwise
355,Dining out,0.0,GBP,2017-11-27,Banana leaf,,,0.0,splitwise
